"activity_name","destination_name","seo_title","content","description","presentation"
"Paintball","Albufeira","Paintball pour mon EVG à Albufeira","<div><ul><li>250 billes par personne (environ 1h30 de jeu)</li><li>Tout l'équipement nécessaire</li><li>Durée: entre 1h et 2h</li><li>Min 6 personnes</li><li>Possibilité d'acheter des billes supplémentaires sur place, en supplément (environ 5€ pour 100 billes)</li></ul></div><ul> </ul> ","<p>Choisissez l'activité numéro un lors de votre week-end entre potes, on vous conseille le paintball pour votre EVG à Albufeira !</p>","<p>Choisissez l'activité numéro un lors de votre week-end entre potes, on vous conseille le paintball pour votre EVG à Albufeira !</p><p>Choisir de faire un paintball, c'est choisir d'avoir une bonne dose de fun et de délire lors de votre week-end entre potes. Vous lui avez offert un enterrement de vie de garçon à Albufeira, vous avez bien le droit de vider sur lui la totalité de votre chargeur.</p> "
"Striptease","Albufeira","Striptease pour mon EVG à Albufeira","<ul>	<li>		Striptease</li>	<li>		Durée : environ 15mn</li><li>à votre hébergement (appartement ou hôtelà</li> </ul> ","<p></p><div>Prendre un apéro entre potes, c'est toujours cool, mais avec une stripteaseuse, c'est 1000 X mieux non ? Après tout, il s'agit d'un EVG à Albufeira.<br></div><p></p>","<p>Prendre un apéro entre potes, c'est toujours cool, mais avec une stripteaseuse, c'est 1000 X mieux non ? Après tout, il s'agit d'un EVG à Albufeira.</p><p>La stripteaseuse vous rejoint sur le lieu de rendez-vous, où elle effectue un show de 15min pour le plus grand plaisir du futur marié... et du reste du groupe !</p><p>Cette activité peut s'effectuer au réveil, comme pour l'apéro ! Vous pouvez décliner le striptease sous différentes formes : comique, sexy ou intégral</p><p><b><br></b></p><p><u>BON À SAVOIR :</u></p><p>Ce show striptease se réalise dans différentes activités (restaurant, pendant la tournée des bars) ou directement à votre hébergement.</p> "
"Karting ","Albufeira","Karting pour mon EVG à Albufeira","<ul>	<li>20 minutes de course sur piste privatisée</li>	<li>		Équipement nécessaire</li>	<li>Karts électriques<br></li><li>Terrain indoor</li><li>Disponible de 11h à 18h</li> </ul> ","<p></p><div>Le karting, vous le savez, c'est l'activité idéale pour s'éclater entre potes pendant votre EVG à Albufeira.&nbsp;<br></div><p></p>","<p>Le karting, vous le savez, c'est l'activité idéale pour s'éclater entre potes pendant votre EVG à Albufeira. C'est l'occasion de retourner en enfance et de revivre les parties de Mario kart sur 64 en version réelle.&nbsp;</p><p>D'ailleurs pour ajouter un peu de piment à l'activité, que dites-vous de faire un petit pari ? Le perdant devra payer sa tournée lors de la soirée.</p> "
"Parc Aquatique","Albufeira","Parc Aquatique pour mon EVG à Albufeira","<ul> 	<li> 		Entrée au parc aquatique</li> 	<li>Toboggans, piscines, chute libre de 3m dans l'eau etc...</li> 	<li>Le parc aquatique est à Vilamoura</li></ul> ","<p></p><div>Assurez-vous une après-midi fun entre potes et venez glisser sur bosses et toboggans lors de votre EVG à Albufeira !<br></div><p></p>","<p>Assurez-vous une après-midi fun entre potes et venez glisser sur bosses et toboggans lors de votre EVG à Albufeira !<br></p><p> 	Le parc aquatique d'Albufeira a été construit pour vous divertir mais aussi pour tester votre audace avec des toboggans toujours plus fou (toboggan vertical de 36m, chute libre de 3m dans l'eau etc...).</p> <p> 	En bref, ce parc aquatique est surtout conçu pour tester vos limites et voir lesquels d'entre vous sont les plus courageux !</p> "
"Tournée des bars & club","Albufeira","Tournée des bars & club pour mon EVG à Albufeira","<p></p><p></p><ul><li><p style=""display: inline !important;"">Tournée des bars publics</p></li><li>Visite de 5-6 bars</li><li>Guide locale</li><li>1 Entrée en club pour tout le groupe</li><li>Disponible les vendredis et les samedis</li></ul><p></p><p></p>","<p></p><p></p><div>L'activité essentielle pour votre EVG à Albufeira, vous allez découvrir comment les Portugais font la festa!<font color=""#000000""><span style=""font-weight: 400;""><br></span></font></div><p></p><p></p><p></p>","<p>L'activité essentielle pour votre EVG à Albufeira, vous allez découvrir comment les Portugais font la&nbsp;festa&nbsp;: une tournée des bars avec notre guide locale suivie d'une entrée en boîte pour tout le groupe !</p><p>La ""visite"" comprend 5/6 bars du quartier le plus animé d'Albufeira. Durant celle-ci, vous allez faire des crazy challenges à base de shots, cocktails, champagnes, barre de pôle dance...</p><p>Après cette tournée des bars insolite, vous avez une entrée en boîte pour le groupe.</p>"
"Visite du vignoble","Albufeira","Visite du vignoble pour mon EVG à Albufeira!","<ul><li>Visite du vignoble Quinta Do Tor</li><li>Dégustation de 4 vins</li><li>Durée: 2-3 heures</li><li>Le vignoble est à 25 min de Albufeira</li><li>Possibilité de rajouter un transfert (en supplément)</li></ul>","<p>Plongez dans l'univers de la viticulture portugaise à travers une visite guidée, suivie d'une dégustation de quatre vins sélectionnés.&nbsp;</p>","<p>Découvrez le charme du vignoble Quinta Do Tor lors de votre EVG à Albufeira!</p><p>Plongez dans l'univers de la viticulture portugaise à travers une visite guidée, suivie d'une dégustation de quatre vins sélectionnés.&nbsp;</p><p>Cette expérience de 2 à 3 heures vous permettra de savourer des cépages locaux tout en profitant des paysages pittoresques du domaine.</p><p>Un transfert peut être ajouté en supplément pour un déplacement en toute sérénité.</p><p><br></p><p>BON À SAVOIR:</p><p>Le vignoble,est situé à seulement 25 minutes d'Albufeira.&nbsp;</p>"
"Foot Bulle","Albufeira","Foot Bulle pour mon EVG à Albufeira!","<ul><li>Foot Bulle</li><li>Terrain privatisé pour le groupe</li><li>Durée: 1h pour les groupes jusqu'à 10 personnes, 1h30 de 11 à 15 personnes et 2h pour les groupes de plus de 15 personnes</li><li>Instructeur</li><li>Équipement</li></ul>","<p>Vivez une expérience sportive et amusante avec notre activité Foot Bulle !&nbsp;</p>","<p>Vivez une expérience sportive et amusante avec notre activité Foot Bulle !&nbsp;</p><p>Profitez d’un terrain privatisé rien que pour votre EVG et préparez-vous à des fous rires garantis.&nbsp;</p><p>Chaque joueur est équipé d'une bulle gonflable, rendant les contacts encore plus drôles et imprévisibles.</p><p>Un instructeur sera sur place pour vous encadrer et assurer le bon déroulement du jeu.&nbsp;</p><p><u><br></u></p><p><u>BON À SAVOIR:</u></p><p>Tout l’équipement nécessaire est inclus, vous n’avez plus qu’à venir profiter !</p>"
"Déjeuner Tapas","Albufeira","Déjeuner Tapas pour mon EVG à Albufeira!","<ul><li>Table réservée pour le groupe</li><li>1 tapas par personne</li><li>1/2 bouteille de vin par personne</li><li>Possibilité d'acheter des tapas ou des boissons sur place (supplément)</li><li>Durée: 1 heure</li><li>Disponible de 11h à 16h</li></ul>","<p>Les tapas sont un repas très convivial qui permet de partager de nombreux petits plats en groupe.</p>","<div><p>Les tapas sont un repas très convivial qui permet de partager de nombreux petits plats en groupe. Optez donc pour notre déjeuner tapas lors de votre EVG à Albufeira ! </p><p>Nous vous réservons une table pendant 1 heure. Dans le prix, vous bénéficierez de 1 tapas par personne ainsi que d’1/2 bouteille de vin.</p></div><p><br></p><p>BON À SAVOIR:</p><p>Pour ceux qui souhaitent prolonger le plaisir, il est possible d’acheter des tapas ou des boissons supplémentaires sur place (avec supplément).</p>"
"Dessin de modèle nu","Albufeira","Dessin de modèle nu pour mon EVG à Albufeira!","<ul><li>Un cours de dessin de nu pour le marié</li><li>Tout le matériel à disposition (feuille de papier, crayon)</li><li>Une jolie fille</li><li>Le cours de dessin se fait à votre hébergement</li><li>Durée: environ 20 minutes</li></ul>","<p>Ici, on propose un petit cours sexy et coquin, animé par une strip-teaseuse, qui apprendra au marié à la dessiner.&nbsp;</p>","<p>Réservez l'activité&nbsp;Dessin de modèle nu pour votre EVG à Albufeira!</p><p>Mais attention, si vous êtes de vrais artistes, cette activité n’est pas pour vous !</p><p>Ici, on propose un petit cours sexy et coquin, animé par une strip-teaseuse, qui apprendra au marié à la dessiner. Une activité sexy qui garantit aussi de nombreux fous rires !</p><p>20 minutes de folie à Albufeira!</p>"
"Combat Sexy","Albufeira","Combat Sexy pour mon EVG à Albufeira!","<ul><li>Show lesbien entre deux stripteaseuses</li><li>Piscine gonflable remplie de gelée/huile</li><li>Uniquement possible si vous avez loué un appartement ou une villa</li><li>Equipement nécessaire</li><li>Durée: environ 10 minutes</li></ul>","<p>Deux jolies demoiselles prennent un langoureux bain d'huile sous vos yeux ébahis. Une bonne occasion de leur proposer un petit massage, Jean Claude Dusse ?</p>","<p>Le marié aime la bagarre ? Il va l’adorer encore plus avec notre combat sexy à Albufeira !</p><p>Deux jolies demoiselles viendront à votre hébergement et installeront une piscine gonflable remplie d'huile ou de gelée. Elles offriront un show sexy et combattront avec le marié. Qui remportera la victoire ?</p><p><br></p><p><u>BON À SAVOIR:</u></p><p>Activité disponible que en appartement.</p>"
"Sexy Before","Albufeira","Sexy Before pour mon EVG à Albufeira!","<ul><li>1h d'activité</li><li>1 Serveuse sexy et en topless</li><li>Service à votre appartement</li></ul>","<p>Avant de sortir faire la fête pendant votre EVG à Albufeira, il est conseillé de faire un Sexy Before pour bien se chauffer!</p>","<p>Avant de sortir faire la fête pendant votre EVG à Albufeira, il est conseillé de faire un Sexy Before pour bien se chauffer!</p><p>Pour cela, il n'y a rien de mieux qu'une serveuse super sexy vous incitant à boire à la bouteille chacun votre tour pour donner le ton de votre soirée !</p><p>Nous recommandons cette activité avant de dîner où de sortir dans les bars et boîtes.</p>"
"Croisière Sunset","Albufeira","Croisière Sunset","<p><ul><li><p style=""display: inline !important;"">Croisière en catamaran au coucher de soleil</p></li><li>Croisière publique</li><li>Durée: 2h30</li><li>Bar à bord </li><li>Départ depuis Albufeira Marina</li></ul></p><ul> </ul> ","<p>Fêtez votre EVG en pleine mer à bord d'un superbe Catamaran, pour un début de soirée de folie !</p>","<p>Célébrez votre enterrement de vie de jeune fille en mer avec une soirée mémorable à bord d’un magnifique catamaran !</p><p>Le départ se fait depuis le port d'Albufeira. Attention, la croisière ne peut pas attendre les retardataires, alors soyez ponctuels !</p><p>Embarquez pour une excursion unique en mer et admirez un splendide coucher de soleil pour un début de soirée exceptionnel.</p> "
"Unlimited Ribs & Wings","Albufeira","Unlimited Ribs & Wings pour mon EVG à Albufeira!","<ul><li>Table réservée pour le groupe</li><li>Durée: 2 heures</li><li>Ribs et wings à discrétion</li><li>Frites et sauces</li><li>1 bière ou 1 verre de vin par personne</li><li>Disponible entre 10h et 13h</li></ul>","<p>Préparez-vous à vous régaler et à partager des moments inoubliables !</p>","<p>Unlimited Ribs &amp; Wings: Venez passer un moment convivial autour d’un festin de ribs et wings à discrétion, dans un cadre chaleureux avec une table réservée pour votre groupe.</p><p>&nbsp;Pendant 2 heures, savourez ces délices accompagnés de frites croustillantes et de sauces variées pour encore plus de plaisir.</p><p>Pour accompagner ce repas, chaque personne pourra déguster 1 bière ou 1 verre de vin.</p><p>Préparez-vous à vous régaler et à partager des moments inoubliables pendant votre EVG à Albufeira!</p><p><br></p><p>BON À SAVOIR:</p><p>Cette activité est disponible entre 10h et 13h, idéale pour un brunch copieux ou un déjeuner entre amis</p>"
"Catamaran & BBQ","Albufeira","Catamaran & BBQ pour mon EVG à Albufeira!","<ul><li>Croisière publique en catamaran</li><li>Pause bagnade</li><li>BBQ et boissons sur une plage</li><li>Durée: 6 heures</li><li>Départ: 10:00</li><li>Transfert A/R</li><li>Départ d'Albufeira ou de Vilamoura</li></ul>","<p>Profitez d'une balade de 6 heures à bord d'un spacieux catamaran pour admirer les plages et grottes depuis la mer.&nbsp;</p>","<p>Découvrez la magnifique côte sud du Portugal avec notre activité ""Catamaran &amp; BBQ"" !</p><p>Profitez d'une balade de 6 heures à bord d'un spacieux catamaran pour admirer les plages et grottes depuis la mer. Le départ se fait à 10h depuis Albufeira ou Vilamoura.</p><p>Lors de la croisière, une halte sur une plage secrète vous attend, où vous savourerez un délicieux barbecue accompagné de boissons à volonté. Une expérience incontournable pour un EVG mémorable !</p>"
