hub,n_destinations_in_file2,destinations,n_bullets_aggregated,top_specs,sample_desc_1_dest,sample_desc_1_text,sample_desc_2_dest,sample_desc_2_text,sample_desc_3_dest,sample_desc_3_text
Faux Saut Elastique,1,Prague,7,"1 Faux saut à l'élastique pour le futur marié || 1 bière par personne || Equipement de sécurité || 1 instructeur || 1 guide locale anglophone pour vous accompagner || Transfert aller-retour en minibus privatisé || Durée total de l'activité 1 heure (transfert inclus). Le faux saut a une courte durée, nous conseillons de réserver cette activité en combo ave le paintball ou le foot bulle",Prague,"Le Faux saut à l'élastique pour faire flipper le marié le jour de votre enterrement de vie de garçon, c'est l'activité qu'il vous faut à Prague. La guide vous récupère à votre hébergement avec le chauffeur et vous emmène en minibus privatisé vers le lieu de l'activité Faux saut à l'élastique. Le futur marié pense qu'il va effectuer à saut à l'élastique du haut d'un pont ou d'une tour et se met à stresser tout le long du trajet en minibus vers le lieu de l'activité. Il est important que tout le groupe joue le jeu sans en faire trop non plus; pas de ""Tu vas voir le saut à l'élastique c'est trop ",,,,
Hummer Lap Tour,12,Barcelone | Berlin | Bordeaux | Bucarest | Budapest | Cracovie | Ibiza | Lisbonne | Madrid | Porto | Prague | Varsovie,315,Présence de votre guide locale || Une bouteille de champagne local à bord || Possibilité d'ajouter un transfert aéroport retour en minibus privé sur demande (en supplément) || 1 bouteille de champagne local || Possibilité de mettre votre propre musique || Dernier créneau disponible: 23h || 2 bouteilles de vin pétillant || 1 bouteille de champagne local (+ possibilité de ramener une bouteille) || Max 8 personnes || Transfert de l'aéroport à votre hébergement,Barcelone,"Le Hummer Limo vous retrouve devant votre hébergement ou le restaurant de votre choix. Il est loué pour une heure, avec chauffeur, il est donc impératif d'être à l'heure messieurs ! La balade en Hummer Limo dure une heure et le trajet a lieu dans Barcelone intra-muros. A bord, de nombreuses bouteilles pour faire la fête comme il se doit lors d'un EVG à Barcelone. Et pour les groupes de coquins, il est possible de privilégier le Hummer + Striptease pour rajouter un peu de piment lors de votre enterrement de vie de garçon. BON A SAVOIR : La législation Espagnole limite à 8 personnes la capacité ",Barcelone,"Pour un EVG réussi à Barcelone, nous vous proposons la formule Hummer + striptease ! Le Hummer vous retrouve devant votre hébergement ou le restaurant de votre choix. Il est loué pour une heure, avec chauffeur, il est donc impératif d'être à l'heure messieurs! À bord du Hummer , une multitude de boissons sont incluses, histoire de rendre cet EVG encore plus festif. Le striptease a lieu dans le véhicule, lorsque la limousine est à l'arrêt (on préfère être transparent la dessus, la loi est stricte en Espagne). Le show dure environ 15 min. La législation Espagnole limite à 8 personnes la capacité",Bucarest,"Montez à bord de notre Daddy Hummer pour une heure de balade VIP lors de votre soirée d'enterrement de vie de garçon à Bucarest ! C'est bien connu, l'incontournable d'une bonne soirée d'EVG, c'est la balade en limousine. Mais que diriez-vous de rendre cette activité encore plus inoubliable en montant à bord d'une limousine de type Daddy ou Cadillac, pouvant accueillir jusque 24 personnes ? C'est le MUST ! Notre chauffeur vous accueille à bord de ce véhicule géant pour une heure de balade dans Bucarest. Vous avez le libre choix du lieu de dépôt (à établir en accord avec votre planning de soirée"
Footbulle,17,Albufeira | Amsterdam | Barcelone | Bordeaux | Bruxelles | Bucarest | Budapest | Cracovie | Lisbonne | Lyon | Madrid | Marbella | Paris | Porto | Prague | Varsovie | Vilnius,152,Transfert A/R en minibus privatisé || Vestiaires avec douches et casiers individuels sécurisés || Les bulles gonflables pour chaque joueur || Minimum 8 personnes || Des ballons et des chasubles fournis par le centre || Guide locale anglophone || Location des Bulles et matériel de jeu || Vestiaires et douches à disposition || Arbitre || 1h00 de jeu,Amsterdam,"Vous aurez votre propre vestiaire avec casiers, et douches privées. Pensez à apporter shorts, baskets, savons et serviettes. Les bulles et le ballon sont évidemment fournis ! Différents jeux vous seront proposés. Le terrain est réservé pour 1h pour votre groupe. Bien entendu il faut être au moins 10 pour cette activité ! Ou alors 8 si vous êtes prêts à jouer à 4 contre 4 ! Si vous souhaitez être challengés, testez le Foot vs équipe locale ! BON A SAVOIR : Le centre de foot bulle est à 30 minutes du centre-ville d'Amsterdam. Vous avez la possibilité de réserver un transfert aller-retour en supp",Bordeaux,"Un match de football complètement fou, pratiqué dans des bulles, ça donne le foot bulle! Glissez-vous dans ces grosses boules gonflables et affrontez-vous sur le terrain pour une expérience riche en fous rires lors de votre EVG à Bordeaux! L’activité comprend une heure de jeu (ou 30 minutes pour les groupes de moins de huit participants), ainsi que tout le matériel nécessaire : ballons, chasubles et bulles gonflables individuelles. Des vestiaires équipés de douches et de casiers sécurisés sont à votre disposition pour un confort total. Une activité parfaite à faire avant une bonne dégustation ",Bruxelles,"Le Foot Bulle, c'est un match de football complètement fou ! Glissez-vous dans ces grosses boules gonflables et affrontez-vous sur le terrain. C'est une activité totalement délirante à faire lors d'un enterrement de vie de garçon à Bruxelles. Le but est de projeter vos adversaires sur plusieurs mètres, qu’ils aient le ballon… ou pas ! Les fous rires sont garantis ! C'est exactement le type d'activité qu'on a envie de faire durant un EVG à Bruxelles. Les personnes de plus de 105 kg ne peuvent pas pratiquer cette activité. Si vous êtes plus sérieux, testez le Foot 5/5 ! BON A SAVOIR : Si vous n'"
Party Bus Strip,6,Amsterdam | Barcelone | Budapest | Cracovie | Prague | Varsovie,74,"Striptease à bord du Party Bus || Transfert aller/retour aéroport-hébergement dans un minibus privatisé || Show d'une magnifique stripteaseuse pendant le trajet || Maximum 22 personnes || Idéal pour les grands groupes (de 15 à 35 personnes) || Transfert de l'aéroport à votre hébergement en Party Bus || Possibilité d'apporter votre propre alcool à bord || Party Bus tout équipé : système de son à bord, lumières d'ambiance, climatisation etc. || Durée : 2h || Possibilité d'ajouter un Open Bar à bord (en supplément sur demande)",Barcelone,"Le Party Bus + Strip est le véhicule festif parfait pour votre EVG Barcelone. Imaginez-vous parcourir les rues de Barcelone dans ce Party bus hors du commun doté de lumières LED, d'une grosse sono et d'un striptease. Inutile de vous dire que le groupe sera gonflé au max pour cette soirée d'enterrement de vie de garçon. De plus, le clou de l'activité sera la venue à bord d'une magnifique stripteaseuse pour vous donner un show et prendre soin du futur marié. Un before idéal avant d'enchaîner sur une prestation Boîte et Bouteilles Premium . BON A SAVOIR : Le bus peut vous déposer en boîte de nuit",Budapest,"Un accueil personnalisé dès votre arrivée à l'aéroport: la guide vous attendra avec un panneau Crazy-Voyages avec le prénom ou surnom du marié! Ensuite aucune prise de tête à trouver assez de taxi pour tout le monde etc.. tout est géré pour vous jusqu'à que posiez vos valises à votre hébergement. Vous n'aurez qu'à vous concentrer sur le show de la stripteaseuse , qui vous fera directement rentrer dans le depaysement de cet EVG à Budapest de folie! Pour le retour , pas de problème non plus, oubliez la recherche de taxi avec la gueule de bois... le minibus viendra vous chercher à votre hébergeme",Budapest,Votre guide vous attendra avec un panneau à votre arrivée. Le Party Bus vous récupère à l'aéroport et vous dépose à votre logement en centre ville de Budapest. La privatisation du véhicule dure 1 heure et 1 bouteille de champagne local sont fournies. Vous pouvez également apporter vos propres boissons si vous le souhaitez ou en acheter sur place auprès du chauffeur. Le trajet serait sans doute un peu fade sans la présence d'uns stripteaseuse à bord durant votre trajet. Le Party Bus est équipé de matériel de diffusion son & lumières digne d'une boîte de nuit. Un écran plat HD est également disp
Diner Strip,13,Albufeira | Amsterdam | Barcelone | Bratislava | Bucarest | Budapest | Ibiza | Lisbonne | Majorque | Paris | Porto | Prague | Vilnius,95,2 bières par personne || Table réservée pour le groupe || Un striptease juste pour votre groupe || Dîner 3 plats || 1/2 bouteille de vin ou 1 bière toutes par personne || Striptease dans une salle privatisée || Durée: 3 heures || Disponible de 19h à 22h || Dîner dans un pub hollandais en plein centre d'Amsterdam || Un plat par personne + une pinte de bière,Barcelone,"Voici un programme alléchant qui offre tout ce qu'il faut pour passer une soirée inoubliable lors d'un EVG à Barcelone. Cette activité se compose d'un dîner dans un top restaurant de Barcelone, d'un striptease pendant votre dîner et d'une entrée en club pour finir la soirée. Nous travaillons avec les tops restaurants typiques catalans ! Nous les avons sélectionnés pour l'ambiance, la qualité des plats et la possibilité de réserver des grandes tables pour les groupes. Au menu : Tapas à partager en entrée Viande ou poisson au choix en plat principal Dessert Sangria à volonté servie jusqu'au dess",Bratislava,"Voici un repas comme on les aime ! Vous avez une table réservée dans notre restaurant durant deux heures. Le repas est constitué d'un steak frites, d'un burger ou d'un repas végétarien. On vous offre deux bières par personne ( vous aurez la possibilité de commander d'autres consommations à votre charge si vous le souhaitez). Placée dans une salle privatisée du restaurant, une magnifique stripteaseuse viendra vous distraire à votre table. Elle effectuera un show endiablé en guise de dessert. Si vous avez un grand besoin d’étancher votre soif, nous vous proposons la même activité mais avec open ",Bucarest,"Le Dîner Strip est un incontournable de l'enterrement de vie de garçon, où que vous alliez ! Dînez dans un bon restaurant du centre de Bucarest, avec un bon burger. La guide vous récupère à votre hébergement, vous accompagne sur place, et dîne avec vous pour s'assurer que tout se passe au mieux. Vous serez placés dans une salle privatisée du restaurant, et le striptease aura lieu directement à votre table à la fin du repas. Le restaurant étant situé en plein centre ville, vous pourrez rejoindre ensuite les meilleurs bars et clubs à pieds. C'est LE dîner incontournable d'un enterrement de garço"
Striptease Domicile,25,Albufeira | Annecy | Barcelone | Berlin | Bordeaux | Bruxelles | Bucarest | Budapest | Cracovie | Deauville | Ibiza | Lisbonne | Lyon | Madrid | Majorque | Marbella | Milan | Montpellier | Paris | Porto | Prague | Varsovie | Villa EVG Les Etisseaux | Villa EVG Luigny | Villa EVG Radar,119,"Striptease à votre hébergement || Nous privilégions les appartements ou les maisons privatives pour cette activité || 5min d'aftershow pour les photos avec votre futur marié préféré || La stripteaseuse se déplace et assure un show d'environ 15min || La stripteaseuse se déplace et assure un show d'environ 15 min || La stripteaseuse se déplace et assure un show d'environ15min || Durée: 12 minutes || Un show privé à votre appartement || Guide locale || Nous privilégions les maisons, appartements ou les auberges pour cette activité",Albufeira,"Prendre un apéro entre potes, c'est toujours cool, mais avec une stripteaseuse, c'est 1000 X mieux non ? Après tout, il s'agit d'un EVG à Albufeira. La stripteaseuse vous rejoint sur le lieu de rendez-vous, où elle effectue un show de 15min pour le plus grand plaisir du futur marié... et du reste du groupe ! Cette activité peut s'effectuer au réveil, comme pour l'apéro ! Vous pouvez décliner le striptease sous différentes formes : comique, sexy ou intégral BON À SAVOIR : Ce show striptease se réalise dans différentes activités (restaurant, pendant la tournée des bars) ou directement à votre hé",Barcelone,"Prendre un apéro entre potes, c'est toujours cool, mais avec une stripteaseuse, c'est 100 X mieux ! Il s'agit sans aucun doute d'une les activités les plus populaires pour un enterrement de vie de garçon à Barcelone. De toute manière, il n'existe pas d'enterrement de vie de garçon sans striptease ! Faites venir une somptueuse danseuse exotique (bref une stripteaseuse) dans votre appartement afin qu'elle donne un show pour le futur marié... N'oubliez pas que vous êtes à Barcelone, à l'heure Espagnole, l'apéro n'est donc pas à 18 h mais après 20 h ! Tous les membres du groupe pourront profiter d",Cracovie,"Le futur marié doit avoir le droit à son lot de vacheries lors de son enterrement de vie de garçon à Cracovie : c'est la règle. Offrez-lui un striptease extra-large pour son EVG pour que la surprise soit totale. Au moment où il sait que son striptease arrive, votre pote va s'imaginer être aux anges face à une somptueuse danseuse Polonaise sauf que... la grosse Berta fera son apparition ! Attention, il n'est pas interdit de rire et de se moquer de lui car la stripteaseuse bénéficie d'une immense autodérision ce qui est tout à son honneur. Lâchez-vous donc et emmagasinez un maximum de souvenirs "
Stripclub,20,Albufeira | Amsterdam | Barcelone | Berlin | Bordeaux | Bruxelles | Bucarest | Budapest | Cracovie | Ibiza | Lisbonne | Lyon | Madrid | Majorque | Milan | Paris | Porto | Prague | Varsovie | Vilnius,194,"Entrée au stripclub || Guide locale || Entrée en strip club pour tout le groupe || Softs || Shows || Table réservée pour le groupe || Entrée gratuite || Bonbons || Possibilité d'avoir l'option striptease intégral (supplément) || Minimum 6 personnes, Maximum 20 personnes",Amsterdam,"Rien de mieux qu'un passage en Stripclub pour marquer le coup lors de votre soirée d'enterrement de vie de garçon à Amsterdam ! Notre stripclub partenaire est situé au cœur de la ville d'Amsterdam et vous accueille à partir de 20h00. A l'intérieur vous attendent de très belles jeunes femmes qui vous donneront plus qu'envie de prolonger votre soirée dans l'établissement. A Amsterdam, les stripclubs sont un peu différents de ceux que l'on peut observer dans d'autres capitales européennes. Les filles effectuent leurs shows directement sur le bar, pour le plus grand plaisir de tous. Aussi, si vous",Bucarest,"Faites monter la température de votre soirée d'EVG à Bucarest avec notre Strip Club VIP & Open Bar ! Situé en plein centre ville, ce club de striptease réputé propose ce qui se fait de mieux à Bucarest : entre 20 et 28 danseuses triées sur le volet travaillent ici chaque soir. Une fois sur place, vous pourrez profiter de boissons à volonté pour toute la durée de votre présence. Et ce n'est pas tout ! Une salle est privatisée spécialement pour votre groupe pour une durée d'une heure. Dans cette salle, une sublime jeune femme viendra effectuer un show lap dance pour le futur marié histoire de do",Bucarest,"S’il y a bien une tradition à tous les enterrements de vie de garçon, c'est bien le strip club ! Les statistiques ne mentent pas : dans 90 % des EVG on demande à une femme de se mettre toute nue... Alors, pour votre séjour à Bucarest, on a visité ce club pour vous ! Gentlemen, vous vous sentirez comme chez vous à l'intérieur de ce strip club, vous voulez y élire domicile jusqu'à la fin de la soirée ! Vous aurez tout le loisir de vous régaler en profitant des nombreuses beautés (entre 20 et 28 danseuses) travaillant chaque soir. Si vous voulez une expérience encore plus incroyable, testez le St"
Sexy Combat,12,Albufeira | Amsterdam | Barcelone | Berlin | Budapest | Cracovie | Lisbonne | Madrid | Majorque | Marbella | Porto | Prague,106,"Show lesbien entre deux stripteaseuses || Piscine gonflable remplie de gelée/huile || Uniquement possible si vous avez loué un appartement ou une villa || Durée: environ 10 minutes || 1 bière par personne || Le spectacle dure 12 à 15 minutes || Les strip-teaseuses sont seins nus pendant le spectacle || 1 tournée de bières || Transfert à vos frais (l’emplacement est central) || Douches sur place (attention, à apporter une serviette et des claquettes)",Amsterdam,"Le Combat Sexy est l'activité ultime pour charrier le futur marié lors de son enterrement de vie de garçon à Amsterdam. En effet, si vous voulez vous taper des barres de rire lors de l'EVG avec votre ami, c'est l'activité à faire : le futur marié, en sous vêtements, se fait malmener par deux bombes Hollandaises ! Le Combat Sexy commence par un ""fight"" entre deux stripteaseuses en petite tenue pour que tout le monde puisse profiter de cette vision de pure beauté. Ensuite, les choses sérieuses commencent et le futur marié rejoint les deux superbes créatures dans la piscine remplie d'huile. C'est",Berlin,"Lors d'un enterrement de vie de garçon à Berlin, on se doit d'être original et créatif ! Que pensez-vous d'un combat dans l'huile entre nos 2 lutteuses et le futur marié ? Les 2 lutteuses qui sont en faites des stripteaseuses commencent une lutte sexy avant d'inviter le marié à se joindre à elles ! L'activité est bonne enfant et permet de ridiculiser un peu votre ami. Assurez-vous que le marié est bon esprit et pas trop timide avant de réserver cette activité. Le show dure au total une vingtaine de minutes et vous avez 1 bière offerte par personne. Possibilité de prendre une douche sur place a",Budapest,"Et si pour votre enterrement de vie de garçon à Budapest, vous offrez au futur marié un Combat Sexy Ces ""féroces"" guerrières ne vous surprendront pas que pour leur aptitude au combat. Le futur marié devra les affronter dans une simulation de catch ! De quoi rendre son EVG à Budapest vraiment mémorable ! Attention : le marié prend clairement ""cher"", il doit être ouvert d'esprit pour participer à cette activité ! L'activité dure environ 45 minutes (temps passé sur place) et seul le marié participe au ""combat"". Pour des raisons de sécurité, ce n'est pas un vrai ""combat"" mais plutôt un show érotiq"
Sexy Reveil,8,Barcelone | Bratislava | Bucarest | Budapest | Cracovie | Prague | Varsovie | Vilnius,34,"A réaliser le matin, au réveil || La stripteaseuse arrive à votre appartement déguisée en livreur de pizza || La guide paye les pizzas et la stripteaseuse part || 10 minutes après, elle revient en demandant ""Comment étaient les pizzas?"" et elle commence à se déshabiller ... le show commence! || 5 pizzas 32 cm pour 10 personnes || Un show privé à votre appartement || La stripteaseuse fait un show de 10 minutes dans la chambre du futur marié || L'artiste se déplace avec le matériel hifi nécessaire pour assurer le show || Uniquement disponible dans les appartements, pas dans les auberges ou les hôtels || Un striptease de 15 min dans la chambre d'hôtel du marié",Barcelone,Le Sexy Réveil est le meilleur réveil possible pour le futur marié lors de son EVG à Barcelone. La stripteaseuse se déplace à votre hébergement afin de faire irruption dans la chambre du futur marié encore endormi. Vous imaginez sa surprise ! Le show dure environ 10 minutes. Vous pouvez également offrir au futur marié un striptease à n'importe quel moment de la journée avec le Striptease à domicile en journée . BON A SAVOIR : La stripteaseuse ne vient pas dans les auberges de jeunesse. Un membre du groupe devra tout de même accueillir la jolie demoiselle devant votre hébergement et la mener à ,Bratislava,"Une DSK. Un striptease en mode FMI pour votre EVG à Bratislava. Appelez ça comme vous voulez ! La stripteaseuse déguisée en femme de chambre surprend le marié au réveil dans sa chambre d'appartement. Le RDV est fixé avec vous le matin, habituellement après une bonne beuverie la veille en boîte de nuit par exemple. La stripteaseuse fera irruption dans la chambre et offrira un show sexy d'une quinzaine de minutes à votre ami pour son enterrement de vie de garçon. BON A SAVOIR : Uniquement possible si vous avez réservé l'appartement de Bratislava via Crazy-EVG (notre prestataire est au courant et",Bucarest,"Le Sexy Réveil est incontestablement la meilleure des manières de réveiller votre futur marié préféré lors de son enterrement de vie de garçon à Bucarest ! Le scénario est très simple : la stripteaseuse (souvent habillée en femme de chambre), se déplace à votre hébergement afin de faire irruption dans la chambre du futur marié encore endormi. Vous imaginez sa surprise ! Bien entendu, un membre du groupe devra tout de même accueillir la jolie demoiselle devant votre hébergement afin de la mener à la bonne chambre. Après l'avoir réveillé de la façon la plus douce possible, place au spectacle ! E"
Poker Sexy,2,Budapest | Lisbonne,19,Croupier || 2 filles sexy : 1 par équipe || Une partie de strip poker pendant 2 heures à votre hébergement || Table de poker pour 10 joueurs au maximum || L'équipe gagnante remporte un show striptease || Accessible aux groupes ayant réservé l'hébergement avec Crazy-EVG || 2 heures de strip poker sur un bateau privatisé || Croisière sur le Danube pendant la partie || Table pour 10 joueurs au maximum || Striptease pour l'équipe gagnante,Budapest,"Que diriez-vous d'une petite partie de Strip Poker entre amis pendant votre enterrement de vie de garçon à Budapest ? Bien entendu, ce n'est pas vous qui finirez à poil, mais une des deux stripteaseuses voire les deux si vous êtes bons ! La partie se joue à votre appartement avec croupier et une table. Voici comment se déroule la partie : deux équipes de plusieurs joueurs + une stripteaseuse par équipe. À chaque fois qu'une équipe gagne une manche, la stripteaseuse de l'équipe adverse retire un vêtement. La première stripteaseuse complètement nue effectue ensuite une danse pour l'équipe gagnan",Budapest,"Que diriez-vous d'un petit Strip Poker Croisière entre amis pendant votre enterrement de vie de garçon à Budapest ? Bien entendu, ce n'est pas vous qui finirez à poil, mais une des deux stripteaseuses ou les deux si vous êtes bon ! La partie se passe à bord d'un bateau privatisé pour votre groupe pour une durée de deux heures, vous avez à votre disposition un croupier , une table privée, ainsi qu'un cash bar. Voici comment se déroule la partie : deux équipes de plusieurs joueurs + une stripteaseuse par équipe. À chaque fois qu'une équipe gagne une manche, la stripteaseuse de l'autre équipe ret",Lisbonne,"Une jolie stripteaseuse viendra défier le marié au Strip Poker à votre appartement. Selon les dispos, cette activité peut se dérouler en journée ou en soirée. Le principe est simple : à chaque main perdue, un joueur doit retirer un vêtement...mais la stripteaseuse est ""bon joueur"", en général...Fair play de rigueur. Si le marié n'est pas passionné de poker, optez pour un body fruit ou un body sush i. BON À SAVOIR : L'activité a lieu dans votre hébergement, de préférence dans un appartement (pas disponible dans les auberges de jeunesse)."
