URL,hub,mc_principal,current_title,current_meta,new_title,new_title_len,new_meta,new_meta_len,h1_suggested,statut,priorite
https://www.crazy-evg.com/activity-category/initiation-tir-shooting-evg,Initiation Tir Shooting,stand de tir evg,Shooting | Activité EVG | Crazy-EVG,"Pour son enterrement de vie de garçon, offrez à votre ami un gros kiff avec l'activité shooting. Venez tester les armes mythique (AK47- Magnum 357- Sniper...)","Stand de tir EVG : AK47, Glock, Sniper | Crazy-EVG",50,"Offrez un stand de tir EVG à votre pote : AK47, Glock, Magnum 357 à balles réelles. 9 destinations, devis 1 min. Sensations garanties pour son enterrement.",155,Stand de tir EVG,,P1 - Quick win
https://www.crazy-evg.com/activity-category/kidnapping-evg,Kidnapping,idée kidnapping evg,Fausse arrestation| Activité EVG | Crazy-EVG,"Pour votre enterrement de vie de garçon, faites de l'activité kidnapping. Faites vivre une vraie situation de stress au futur marié pour son EVG",Kidnapping EVG : fausse arrestation choc | Crazy-EVG,52,Idée kidnapping EVG : faites vivre une fausse arrestation au futur marié pour son enterrement de vie de garçon. Stress et fou rire garantis. Devis en 1 min.,156,Kidnapping EVG : fausse arrestation,A optimisée,P1 - Quick win
https://www.crazy-evg.com/activity-category/parcours-du-combattant-evg,Parcours du Combattant,stage commando evg,#N/A,#N/A,Stage commando EVG : parcours du combattant | Crazy-EVG,55,"Stage commando pour son EVG : parcours du combattant encadré par d'anciens militaires. Vos potes vont en baver. Devis en 1 min, 6 destinations.",143,Parcours du combattant EVG,Optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/corrida-evg,Corrida,corrida evg,Corrida | Activité EVG | Crazy-EVG,"Pour votre enterrement de vie de garçon, faites l'expérience d'une corrida avec un vrai taureau. N'ayez pas peur et devenez un vrai matador votre EVG.",Corrida EVG : combat de taureau | Crazy-EVG,43,Corrida EVG : devenez matador le temps d'une après-midi avec un vrai taureau. Une activité unique pour un enterrement de vie de garçon mémorable.,145,Corrida EVG,,P1 - Quick win
https://www.crazy-evg.com/activity-category/conduite-ferrari-evg,Conduite Ferrari,conduite ferrari evg,Test Ferrari | Activité EVG | Crazy-EVG,"Pour son enterrement de vie de garçon, faites conduire une Ferrari à votre pote. Offrez lui un énorme kiff à bord de cette merveille lors de son EVG",Conduite Ferrari EVG : pilotage sur circuit | Crazy-EVG,55,"Offrez une conduite Ferrari pour son EVG : pilotage sur circuit, encadré par un instructeur. Le kiff ultime pour son enterrement de vie de garçon.",146,Conduite Ferrari EVG,A optimisée,P3 - Cold page
https://www.crazy-evg.com/activity-category/striptease-domicile-evg,Striptease Domicile,strip tease a domicile​,#N/A,#N/A,Strip-tease à domicile EVG : show privé | Crazy-EVG,51,"Strip-tease à domicile pour son EVG : showgirl pro à votre appart ou hôtel, dans 25 destinations. Discret, simple, efficace. Devis en 1 minute.",143,Strip-tease à domicile EVG,Optimisée,P1 - Quick win
https://www.crazy-evg.com/activity-category/car-smash-evg,Car Smash,car smash,#N/A,#N/A,Car Smash EVG : défoulez-vous sur une voiture | Crazy-EVG,57,Car Smash pour son EVG : pulvérisez une vraie voiture à coups de batte et de masse. Le défouloir parfait pour un enterrement de vie de garçon.,142,Car Smash EVG,Optimisée,P1 - Quick win
https://www.crazy-evg.com/activity-category/conduite-char-d-assaut-evg,Conduite Char D Assaut,evg tank,#N/A,#N/A,Conduite char d'assaut EVG : pilotez un tank | Crazy-EVG,56,EVG tank : conduisez un vrai char d'assaut pour son enterrement de vie de garçon. 6 destinations dont Prague et Budapest. Devis en 1 minute.,140,Conduite char d'assaut EVG,Optimisée,P1 - Quick win
https://www.crazy-evg.com/activity-category/sexy-reveil-evg,Sexy Reveil,reveil coquin,Sexy Réveil | Activité EVG | Crazy-EVG,"Pour son enterrement de vie de garçon, surprenez le futur marié grâce au sexy réveil . Offrez à votre ami le meilleur des réveils lors de son EVG !",Réveil coquin EVG : sexy alarm pour le marié | Crazy-EVG,56,"Réveil coquin pour son EVG : une stripteaseuse réveille le futur marié au saut du lit. Surprise et fou rire garantis. 8 destinations, devis 1 min.",146,Réveil coquin EVG,,P1 - Quick win
https://www.crazy-evg.com/activity-category/crazy-night-evg,Crazy Night,crazy night evg,Crazy Night | Activité EVG | Crazy-EVG,"La crazy night, c'est l'activité obligatoire des soirée d'enterrements de vie de garçon. Tournée des bars / stripclubs / club... la soirée d'EVG parfaite.",Crazy Night EVG : soirée folle clés en main | Crazy-EVG,55,"Crazy Night EVG : la soirée la plus folle de son enterrement de vie de garçon. Strip, boîte, bouteilles : tout est inclus. 9 destinations, devis 1 min.",151,Crazy Night EVG,,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/airsoft-battle-evg,Airsoft Battle,airsoft battle,Airsoft | Activité EVG | Crazy-EVG,"Pour votre enterrement de vie de garçon, venez tester l'airsoft battle, une activité en immersion totale sur un champ de bataille façon Call of Duty !",Airsoft battle EVG : combat tactique entre potes | Crazy-EVG,60,"Airsoft battle pour son EVG : combat tactique avec répliques d'armes en équipement complet. 10 destinations, devis 1 min. Adrénaline garantie.",142,Airsoft battle EVG,A optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/journee-ski-evg,Journee Ski,evg au ski,Journée Ski | Activité EVG | Crazy-EVG,Journée Ski pour votre EVG : Le futur marié est fan des sports de glisse? Offrez-lui une journée au ski pour son enterrement de vie de garçon,EVG au ski : journée pistes & remontées | Crazy-EVG,51,"EVG au ski : journée sur les pistes, location matériel et forfaits inclus. Idéal en hiver entre potes. Devis 1 minute, séjour clés en main.",139,EVG au ski,,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/degustation-bieres-evg,Degustation Bieres,degustation bieres evg,Dégustation de bière | Activité EVG | Crazy-EVG,"Pour votre enterrement de vie de garçon, faites l'expérience d'une visite de brasserie. Dégustez de véritables bières artisanales lors de votre EVG.",Dégustation de bières EVG : atelier brassicole | Crazy-EVG,58,"Dégustation de bières pour son EVG : atelier guidé, brasseries locales, 11 destinations dont Prague, Berlin, Bruxelles. Devis en 1 minute.",138,Dégustation de bières EVG,A optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/croisiere-bateau-evg,Croisiere Bateau,croisiere bateau evg,Croisière | Activité EVG | Crazy-EVG,"Pour votre EVG, faites l'expérience d'une croisière en voilier ou catamaran. Prenez le large et détendez-vous avec l'activité croisière lors de votre EVG",Croisière bateau EVG : privatisation sur l'eau | Crazy-EVG,58,"Croisière bateau pour son EVG : bateau privatisé entre potes, open bar et musique. 20 destinations en mer ou sur fleuve. Devis en 1 minute.",139,Croisière en bateau EVG,,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/boite-bouteilles-evg,Boite Bouteilles,Boîte et Bouteille evg,Boîte et Bouteille | Activité EVG | Crazy-EVG,"Messieurs, simplifiez-vous la vie et votre soirée pour votre prochain enterrement de vie de garçon, avec l'activité boites et bouteilles.",Boîte et bouteilles EVG : entrée VIP en club | Crazy-EVG,56,"Boîte et bouteille pour son EVG : entrée VIP, table privatisée, bouteilles offertes. 25 destinations testées. Devis 1 min, soirée garantie.",139,Boîte et bouteilles EVG,,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/football-evg,Football,activité football evg,Football 5/5 | Activité EVG | Crazy-EVG,"Pour votre enterrement de vie de garçon, faites l'expérience du football 5/5. Un bon match entre amis, activité indispensable pour votre EVG.",Football EVG : match 5 contre 5 entre potes | Crazy-EVG,55,"Activité football EVG : match 5 vs 5 sur terrain privatisé, équipement fourni. 12 destinations. Idéal pour un enterrement de vie de garçon sportif.",147,Football EVG,A optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/diner-strip-evg,Diner Strip,diner streaptise evg,Dîner strip| Activité EVG | Crazy-EVG,"Pour votre enterrement de vie de garçon, faites l'expérience d'un dîner très chaud avec le dîner strip. Remplissez-vous les yeux et le ventre pour votre EVG.",Dîner strip EVG : repas avec stripteaseuse | Crazy-EVG,54,Dîner strip-tease EVG : repas dans un resto privatisé avec show de stripteaseuses. 13 destinations. La soirée parfaite pour son enterrement.,140,Dîner strip-tease EVG,,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/poker-sexy-evg,Poker Sexy,poker sexy,Poker sexy | Activité EVG | Crazy-EVG,"Lors d'un enterrement de vie de garçon, faites vous un petit trip grâce à une partie de poker vraiment spécial...Le futur marié appréciera le show.",Strip poker EVG : partie coquine entre potes | Crazy-EVG,56,Poker sexy pour son EVG : partie de strip poker animée par une croupière professionnelle. Une soirée coquine et fun à tenter pour son enterrement.,146,Poker sexy EVG,,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/combat-chien-evg,Combat Chien,combat chien evg,#N/A,#N/A,Combat Man vs Dog EVG : duel avec chien dressé | Crazy-EVG,58,Combat chien EVG : affrontez un berger malinois équipé d'une protection. Une activité unique et adrénaline pour un enterrement de vie de garçon.,144,Combat Man vs Dog EVG,Optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/tournee-bars-evg,Tournee Bars,tournee bars evg​,Tournée des bars | Activité EVG | Crazy-EVG,"La tournée des bars, c'est l'activité indispensable des enterrements de vie de garçon. Découvrez les meilleurs bars où commencer votre soirée d'EVG",Tournée des bars EVG : pub crawl entre potes | Crazy-EVG,56,"Tournée des bars EVG : pub crawl encadré dans 18 destinations. Bars sélectionnés, shots offerts, ambiance garantie. Devis en 1 minute.",134,Tournée des bars EVG,A optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/party-bus-strip-evg,Party Bus Strip,bus strip​,#N/A,#N/A,Bus strip EVG : party bus avec stripteaseuse | Crazy-EVG,56,"Party bus strip pour son EVG : bus privatisé, stripteaseuse à bord, musique et bouteilles. La fête commence dans le bus. 6 destinations.",136,Bus strip EVG,Optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/quad-buggy-evg,Quad Buggy,randonnée quad buggy evg,Quad & Buggy | Activité EVG | Crazy-EVG,"Pendant un enterrement de vie de garçon, faites l'expérience du Quad & Buggy. Cette activité pour les amateurs de bolides est parfaitement dans l'esprit EVG",Randonnée quad & buggy EVG : raid tout-terrain | Crazy-EVG,58,"Randonnée quad ou buggy pour son EVG : raid tout-terrain encadré, pilotage en groupe. 14 destinations. Sensations fortes pour son enterrement.",142,Randonnée quad & buggy EVG,A optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/flyboard-evg,Flyboard,flyboard evg,Flyboard | Activité EVG | Crazy-EVG,"Pour votre enterrement de vie de garçon, faites l'expérience du flyboard. Envolez-vous dans les airs et venez découvrir cette activité à couper le souffle.",Flyboard EVG : envolez-vous au-dessus de l'eau | Crazy-EVG,58,"Flyboard pour son EVG : sensation de vol à 10m au-dessus de l'eau, encadrement pro. Une activité unique pour un enterrement de vie de garçon.",141,Flyboard EVG,,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/karting-evg,Karting,karting evg,#N/A,#N/A,Karting EVG : course sur circuit entre potes | Crazy-EVG,56,"Karting EVG : Grand Prix entre potes sur circuit privatisé, 20 destinations. Karts puissants, classement final. Devis en 1 minute.",130,Karting EVG,Optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/jet-ski-evg,Jet Ski,evg jet ski​,Jet-Ski | Activité EVG | Crazy-EVG,"Pour votre enterrement de vie de garçon, faites l'expérience du jet-ski. Faites le plein de sensations fortes avec cette activité idéale pour les EVG en mer",Jet Ski EVG : pilotage en mer entre potes | Crazy-EVG,53,"Jet ski pour son EVG : session pilotage en mer, jets puissants, 7 destinations dont Barcelone et Marbella. Sensations garanties. Devis 1 min.",141,Jet ski EVG,A optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/footbulle-evg,Footbulle,Bubble foot evg,Foot bulle | Activité Enterrement de Vie de Garçon avec Crazy EVG,"Ca vous dirait un Foot Bulle pour un enterrement de vie de garçon ? Faites l'expérience du foot bulle avec Crazy EVG. Participez à ce match de dingue et propulsez vos amis sur plusieurs mètres. Le foot bulle, un must have pour un week-end d'EVG",Bubble foot EVG : foot dans une bulle gonflable | Crazy-EVG,59,"Bubble foot pour son EVG : match de foot dans des bulles gonflables géantes. Fou rire garanti, 17 destinations. Devis en 1 minute.",130,Bubble foot EVG,,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/beer-bike-evg,Beer Bike,beer bike,Beer Bike | Activité EVG | Crazy-EVG,"Partez avec Crazy-EVG et essayez pendant votre enterrement de vie de garçon, l'activité du Beer Bike, une activité totalement dingue, à faire absolument",Beer Bike EVG : vélo collectif & bière à bord | Crazy-EVG,57,"Beer bike EVG : vélo collectif de 12 places avec tireuse à bière à bord. Tour guidé en ville, ambiance assurée. 7 destinations, devis 1 min.",140,Beer bike EVG,A optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/hummer-lap-tour-evg,Hummer Lap Tour,Limousine Hummer,Hummer & Strip | Activité EVG | Crazy-EVG,"Pour votre enterrement de vie de garçon, faites l'expérience de l'activité Hummer lap tour. Une virée en limousine, show pour le marié, pour un EVG inoubliable.",Limousine Hummer EVG : tour de ville VIP | Crazy-EVG,52,"Limousine Hummer pour son EVG : Hummer privatisé, bar à bord, tour de ville. La sortie la plus VIP de son enterrement de vie de garçon.",135,Limousine Hummer EVG,A optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/limousine-evg,Limousine,les deux pages à travailler en une page,Limousine | Activité EVG | Crazy-EVG,"Pendant un enterrement de vie de garçon, faites l'vous plaisir avec la traditionnelle virée en limousine. Lancez idéalement la soirée EVG.",Limousine EVG : transfert VIP entre potes | Crazy-EVG,53,"Limousine pour son EVG : transfert ou tour de ville VIP, bar à bord, capacité jusqu'à 12 personnes. 13 destinations. Devis en 1 minute.",135,Limousine EVG,,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/stripclub-evg,Stripclub,club striptease evg,Strip Club| Activité EVG | Crazy-EVG,"Pour son enterrement de vie de garçon, programmez au futur marié un show dans un strip club . Offrez-lui le meilleur des spectacles pour son EVG",Club strip-tease EVG : entrée VIP & bouteilles | Crazy-EVG,58,"Club striptease EVG : entrée VIP coupe-file, bouteilles offertes, table privatisée. Sélection des meilleurs strip clubs dans 20 destinations.",141,Club strip-tease EVG,A optimisée,P2 - Sleeping giant
https://www.crazy-evg.com/activity-category/parapente-evg,Parapente,parapente evg+ vol/Baptême,Parapente | Activité EVG | Crazy-EVG,"Pour un enterrement de vie de garçon, faites l'expérience du parapente. Envolez-vous pour une petite randonnée aérienne, prenez en plein les yeux lors d'un EVG",Parapente EVG : baptême de vol biplace | Crazy-EVG,50,"Parapente EVG : baptême de vol biplace encadré par un moniteur. Vue imprenable, montée d'adrénaline. Une activité d'exception pour un enterrement.",146,Parapente EVG : baptême de vol,,P3 - Cold page
